Data;Funcionário;Registros;Extras;Faltas;Trabalhado;Carga horária
"01/01/26 - qui";;" ";"";"";00:00 ;14:00 
"";"FERNANDA SOUZA ";"Feriado";"";"";06:00 ;08:00 
"";"GABRIEL OLIVEIRA";"Feriado";"";"";00:00 ;06:00 
"02/01/26 - sex";;" ";"";"";14:00 ;14:00 
"";"FERNANDA SOUZA ";"09:00, 12:30, 14:30, 19:00";"";"";08:00 ;08:00 
"";"GABRIEL OLIVEIRA";"08:00, 11:40, 12:00, 14:20";"";"";06:00 ;06:00 
"03/01/26 - sáb";;" ";"";"";00:00 ;""
"";"FERNANDA SOUZA ";" ";"";"";00:00 ;""
"";"GABRIEL OLIVEIRA";" ";"";"";00:00 ;""
"04/01/26 - dom";;" ";"";"";00:00 ;""
"";"FERNANDA SOUZA ";" ";"";"";00:00 ;""
"";"GABRIEL OLIVEIRA";" ";"";"";00:00 ;""
"05/01/26 - seg";;" ";"";"";16:00 ;16:00 
"";"FERNANDA SOUZA ";"09:00, 12:30, 14:30, 19:00";"";"";09:30 ;08:00 
"";"GABRIEL OLIVEIRA";"09:00, 12:30, 14:30, 19:00";"";"";08:00 ;06:00 
"06/01/26 - ter";;" ";"";"";16:00 ;16:00 
"";"FERNANDA SOUZA ";"09:00, 12:30, 14:30, 19:00";"";"";08:00 ;08:00 
"";"GABRIEL OLIVEIRA";"09:00, 12:30, 14:30, 19:00";"";"";08:00 ;06:00 
